nmmunicipiocredor,nmfuncao,vlempenhado,vlliquidado,vlpagoorcamentario,valor_total
BOM JESUS DO OESTE,Agricultura,0.0,1130000.0,1130000.0,2260000.0
BOM JESUS DO OESTE,Educação,0.0,0.0,0.0,0.0
BOM JESUS DO OESTE,Saúde,0.0,0.0,0.0,0.0
BOM RETIRO,Agricultura,0.0,300000.0,300000.0,600000.0
BOM RETIRO,Educação,0.0,380210.0,380210.0,760420.0
BOM RETIRO,Saúde,0.0,500000.0,500000.0,1000000.0
BOM RETIRO,Transporte,0.0,200000.0,200000.0,400000.0
BOMBINHAS,Comércio e Serviços,0.0,0.0,0.0,0.0
BOMBINHAS,Educação,0.0,380000.0,380000.0,760000.0
BOMBINHAS,Saúde,0.0,0.0,0.0,0.0
BOMBINHAS,Transporte,0.0,500000.0,500000.0,1000000.0
BOTUVERA,Educação,0.0,0.0,0.0,0.0
BOTUVERA,Saúde,0.0,0.0,0.0,0.0
BRACO DO NORTE,Educação,0.0,600.0,600.0,1200.0
BRACO DO NORTE,Saúde,0.0,248250.0,252375.0,500625.0
BRACO DO NORTE,Transporte,0.0,0.0,0.0,0.0
BRACO DO TROMBUDO,Agricultura,0.0,120000.0,120000.0,240000.0
BRACO DO TROMBUDO,Educação,0.0,440.0,440.0,880.0
BRACO DO TROMBUDO,Saúde,0.0,0.0,0.0,0.0
BRUNOPOLIS,Educação,-360000.0,360000.0,360000.0,360000.0
BRUNOPOLIS,Saúde,0.0,0.0,0.0,0.0
BRUSQUE,Educação,0.0,1200.0,1200.0,2400.0
BRUSQUE,Saúde,0.0,1575190.0,1387190.0,2962380.0
CACADOR,Administração,0.0,0.0,0.0,0.0
CACADOR,Agricultura,0.0,0.0,0.0,0.0
CACADOR,Educação,0.0,1200.0,1200.0,2400.0
CACADOR,Saúde,0.0,1250906.0,1255031.0,2505937.0
CAIBI,Agricultura,-200000.0,750000.0,750000.0,1300000.0
CAIBI,Assistência Social,0.0,100000.0,100000.0,200000.0
CAIBI,Educação,0.0,20000.0,20000.0,40000.0
CAIBI,Saúde,-230000.0,4794.0,7191.0,-218015.0
CAIBI,Transporte,0.0,150000.0,150000.0,300000.0
CALMON,Agricultura,0.0,0.0,0.0,0.0
CALMON,Educação,0.0,0.0,0.0,0.0
CALMON,Saúde,0.0,0.0,0.0,0.0
CAMBORIU,Assistência Social,0.0,0.0,0.0,0.0
CAMBORIU,Comércio e Serviços,0.0,500000.0,0.0,500000.0
CAMBORIU,Educação,0.0,0.0,0.0,0.0
CAMBORIU,Saúde,0.0,0.0,0.0,0.0
CAMBORIU,Segurança Pública,0.0,400000.0,400000.0,800000.0
CAMBORIU,Transporte,0.0,250000.0,250000.0,500000.0
